,perc_cells_expressed
GNAI3,0.9315068493150684
CDC45,0.3095890410958904
H19,0.6493150684931507
SCML2,0.01643835616438356
NARF,0.39452054794520547
CAV2,0.8383561643835616
KLF6,1.0493150684931507
SCMH1,0.5945205479452055
COX5A,0.9726027397260274
TBX2,0.010958904109589041
NGFR,0.1232876712328767
WNT3,0.00821917808219178
WNT9A,0.3589041095890411
FER,0.5863013698630137
XPO6,0.7616438356164383
TFE3,0.6794520547945205
AXIN2,0.1780821917808219
BRAT1,0.2136986301369863
GNA12,0.6301369863013698
SLC22A18,0.09315068493150686
IGSF5,0.043835616438356165
PIH1D2,0.06301369863013699
DLAT,0.5424657534246575
SDHD,0.8383561643835616
CCND2,0.9972602739726028
GPR107,0.7479452054794521
NALCN,0.04657534246575343
SCNN1G,0.019178082191780823
DRP2,0.010958904109589041
TSPAN32,0.010958904109589041
LHX2,0.1589041095890411
CLEC2G,0.0273972602739726
GMPR,0.1863013698630137
GLRA1,0.0136986301369863
MID2,0.15616438356164383
TRIM25,0.3150684931506849
DGKE,0.14246575342465753
SCPEP1,0.8904109589041096
MNT,0.3561643835616438
HDDC2,0.7917808219178082
TPD52L1,0.33972602739726027
PEMT,0.2356164383561644
CDH1,0.2547945205479452
CKMT1,0.1917808219178082
BCL6B,0.06575342465753424
ALOX12,0.09863013698630137
ARVCF,0.0958904109589041
COMT,0.863013698630137
RTCA,0.6904109589041096
DBT,0.3452054794520548
DAZAP2,0.9945205479452055
MCTS1,0.8465753424657534
REM1,0.1643835616438356
TRAPPC10,0.5753424657534246
CCM2,0.673972602739726
TBRG4,0.42191780821917807
MX1,0.019178082191780823
FAP,0.14246575342465753
NDUFA9,0.915068493150685
EGFL6,0.00821917808219178
LCK,0.010958904109589041
CTTNBP2,0.043835616438356165
GALNT1,0.8410958904109589
MKRN2,0.3698630136986301
PPARG,0.00821917808219178
RAF1,0.5917808219178082
44075,0.09041095890410959
PDGFB,0.27671232876712326
ACVRL1,0.3726027397260274
GRASP,0.536986301369863
ACVR1B,0.28493150684931506
TOM1L2,0.5452054794520548
GPA33,0.03561643835616438
ZFP385A,0.19452054794520549
ITGA5,0.8383561643835616
WDR77,0.6794520547945205
ATP5F1,1.0054794520547945
SOX9,0.9534246575342465
HNRNPD,0.821917808219178
C1D,0.8465753424657534
GM2A,0.6191780821917808
KRIT1,0.6767123287671233
CLCN4,0.7753424657534247
SEMA4F,0.1780821917808219
HK2,0.9753424657534246
MYO18A,0.4383561643835616
HAAO,0.021917808219178082
ABHD15,0.038356164383561646
HOXB6,0.2547945205479452
LOXL3,0.8383561643835616
BTN1A1,0.0136986301369863
KAT2B,0.5068493150684932
RAB5B,0.5068493150684932
CRYBA1,0.00821917808219178
DNMT3L,0.0958904109589041
ICOSL,0.0410958904109589
SPG7,0.7315068493150685
SULT5A1,0.15616438356164383
CHMP1A,0.7753424657534247
RPA1,0.6191780821917808
SERPINF1,0.9643835616438357
TUBGCP3,0.4547945205479452
POLR3D,0.536986301369863
TCF7,0.27123287671232876
DDX3X,1.0328767123287672
IL12RB1,0.043835616438356165
