,perc_cells_expressed
A1BG,0.0020151133501259445
A1BG-AS1,0.02871536523929471
A2ML1,0.01964735516372796
A4GALT,0.021662468513853905
AAAS,0.11586901763224182
AACS,0.21309823677581863
AADAT,0.026700251889168764
AAED1,0.1385390428211587
AAGAB,0.23576826196473552
AAK1,0.4826196473551637
AAMDC,0.06095717884130982
AAMP,0.21964735516372796
AAR2,0.10982367758186398
AARD,0.027204030226700253
AARS,0.24282115869017631
AARS2,0.027707808564231738
AARSD1,0.025692695214105794
AASDH,0.03828715365239295
AASDHPPT,0.15163727959697734
AASS,0.026700251889168764
AATBC,0.0020151133501259445
AATF,0.24231738035264483
AATK,0.003526448362720403
AB019441.29,0.10680100755667506
ABAT,0.07758186397984887
ABBA01017803.1,0.025692695214105794
ABCA1,0.3047858942065491
ABCA11P,0.00906801007556675
ABCA12,0.027204030226700253
ABCA13,0.010075566750629723
ABCA2,0.02871536523929471
ABCA5,0.0947103274559194
ABCA7,0.01712846347607053
ABCA8,0.0020151133501259445
ABCB10,0.11939546599496222
ABCB7,0.10428211586901763
ABCB8,0.15113350125944586
ABCB9,0.04181360201511335
ABCC1,0.14408060453400504
ABCC10,0.05340050377833753
ABCC13,0.005037783375314861
ABCC2,0.0020151133501259445
ABCC3,0.2785894206549118
ABCC4,0.07405541561712846
ABCC5,0.05692695214105793
ABCC9,0.006045340050377834
ABCD1,0.015113350125944584
ABCD3,0.25591939546599496
ABCD4,0.10277078085642317
ABCE1,0.3047858942065491
ABCF1,0.40554156171284633
ABCF2,0.28161209068010074
ABCF3,0.08413098236775819
ABCG1,0.08816120906801007
ABCG2,0.011586901763224182
ABCG4,0.0020151133501259445
ABHD1,0.0015113350125944584
ABHD10,0.1385390428211587
ABHD11,0.060453400503778336
ABHD12,0.12040302267002519
ABHD13,0.055415617128463476
ABHD14A,0.02367758186397985
ABHD14B,0.02518891687657431
ABHD15,0.04937027707808564
ABHD17A,0.10075566750629723
ABHD17AP3,0.0020151133501259445
ABHD17B,0.03224181360201511
ABHD17C,0.06095717884130982
ABHD2,0.2075566750629723
ABHD3,0.1350125944584383
ABHD4,0.040806045340050376
ABHD5,0.10226700251889169
ABHD6,0.028211586901763223
ABHD8,0.02216624685138539
ABI1,0.2070528967254408
ABI2,0.24836272040302268
ABI3BP,0.01662468513853904
ABL1,0.19949622166246853
ABL2,0.3385390428211587
ABLIM1,0.22115869017632242
ABLIM3,0.3017632241813602
ABR,0.2518891687657431
ABRACL,0.22317380352644836
ABT1,0.21259445843828714
ABTB1,0.040806045340050376
ABTB2,0.014609571788413099
AC000068.10,0.0015113350125944584
AC000068.5,0.0025188916876574307
AC000068.9,0.004030226700251889
AC000089.3,0.010075566750629723
AC000123.2,0.01057934508816121
AC000123.3,0.007556675062972292
AC000403.4,0.0025188916876574307
AC002044.1,0.01309823677581864
AC002044.4,0.015617128463476071
AC002066.1,0.0015113350125944584
AC002069.5,0.007052896725440806
AC002075.4,0.012594458438287154
AC002117.1,0.004534005037783375
AC002310.12,0.004534005037783375
AC002310.7,0.0020151133501259445
AC002398.11,0.004030226700251889
AC002454.1,0.031234256926952142
AC002467.7,0.01964735516372796
AC002486.2,0.003022670025188917
AC002543.2,0.0015113350125944584
AC002550.6,0.0025188916876574307
AC003075.4,0.011083123425692695
AC003092.1,0.0020151133501259445
AC003988.1,0.0025188916876574307
AC004000.1,0.0025188916876574307
AC004069.2,0.003526448362720403
AC004076.5,0.014609571788413099
AC004156.3,0.02468513853904282
AC004159.1,0.003022670025188917
AC004221.2,0.0015113350125944584
AC004257.1,0.0020151133501259445
AC004381.6,0.012594458438287154
AC004383.3,0.006045340050377834
AC004386.4,0.01309823677581864
AC004447.2,0.0020151133501259445
AC004453.8,0.07707808564231738
AC004461.4,0.003526448362720403
AC004510.3,0.0020151133501259445
AC004540.5,0.0015113350125944584
AC004556.1,0.0181360201511335
AC004791.2,0.040806045340050376
AC004832.1,0.00906801007556675
AC004893.11,0.0055415617128463475
AC004938.5,0.01309823677581864
AC004941.5,0.0020151133501259445
AC004951.6,0.02065491183879093
AC004967.7,0.006045340050377834
AC004980.7,0.0055415617128463475
AC005017.2,0.0015113350125944584
AC005019.2,0.010075566750629723
AC005027.3,0.004534005037783375
AC005037.3,0.0020151133501259445
AC005042.2,0.005037783375314861
AC005062.2,0.005037783375314861
AC005076.5,0.004030226700251889
AC005083.1,0.0020151133501259445
AC005154.6,0.04030226700251889
AC005224.2,0.006045340050377834
AC005229.5,0.0015113350125944584
AC005229.7,0.017632241813602016
AC005251.3,0.019143576826196475
AC005253.2,0.0015113350125944584
AC005253.4,0.003526448362720403
AC005255.3,0.0020151133501259445
AC005256.1,0.0025188916876574307
AC005262.2,0.01712846347607053
AC005262.4,0.02367758186397985
AC005300.5,0.003022670025188917
AC005306.3,0.0020151133501259445
AC005329.7,0.008564231738035265
AC005336.5,0.004030226700251889
AC005351.1,0.0055415617128463475
AC005480.1,0.07052896725440806
AC005517.3,0.0020151133501259445
AC005522.6,0.0025188916876574307
AC005523.2,0.02065491183879093
AC005523.3,0.0015113350125944584
AC005534.6,0.007556675062972292
AC005546.2,0.0015113350125944584
AC005592.2,0.003022670025188917
AC005682.5,0.027707808564231738
AC005682.7,0.0055415617128463475
AC005754.8,0.0015113350125944584
AC005785.2,0.0015113350125944584
AC005785.5,0.007556675062972292
AC005786.3,0.027707808564231738
AC005786.7,0.004030226700251889
AC005795.1,0.0020151133501259445
AC005863.1,0.014105793450881612
AC005932.1,0.0020151133501259445
AC005943.6,0.0020151133501259445
AC005944.2,0.016120906801007556
AC006028.11,0.0020151133501259445
AC006077.3,0.0025188916876574307
AC006116.20,0.02367758186397985
AC006262.4,0.004030226700251889
AC006262.5,0.12342569269521411
AC006277.2,0.0015113350125944584
AC006369.2,0.0025188916876574307
AC006445.6,0.014609571788413099
AC006445.7,0.02115869017632242
AC006461.1,0.0015113350125944584
AC006461.2,0.018639798488664986
AC006483.5,0.0025188916876574307
AC006509.7,0.008060453400503778
AC006538.1,0.0020151133501259445
AC006539.2,0.01057934508816121
AC006547.15,0.005037783375314861
AC006548.28,0.0025188916876574307
AC006946.16,0.003022670025188917
AC006978.6,0.10730478589420656
AC006994.1,0.00654911838790932
AC007016.3,0.0015113350125944584
AC007036.4,0.004534005037783375
AC007041.2,0.037783375314861464
AC007163.6,0.0020151133501259445
AC007191.4,0.010075566750629723
AC007193.8,0.003526448362720403
AC007228.9,0.005037783375314861
AC007229.3,0.007052896725440806
AC007238.1,0.0473551637279597
AC007246.3,0.00906801007556675
AC007255.8,0.0015113350125944584
AC007279.2,0.0020151133501259445
AC007283.4,0.0020151133501259445
AC007292.3,0.0055415617128463475
AC007318.5,0.02367758186397985
AC007365.4,0.01964735516372796
AC007383.3,0.003526448362720403
AC007383.4,0.0020151133501259445
AC007383.6,0.004030226700251889
AC007386.3,0.0025188916876574307
AC007387.2,0.012594458438287154
AC007389.2,0.004030226700251889
AC007390.4,0.003022670025188917
AC007405.4,0.0015113350125944584
AC007405.6,0.011083123425692695
AC007559.1,0.004534005037783375
AC007618.3,0.0020151133501259445
AC007620.3,0.0020151133501259445
AC007679.4,0.0015113350125944584
AC007750.5,0.0015113350125944584
AC007773.2,0.004534005037783375
AC007879.7,0.06801007556675064
AC007906.1,0.0020151133501259445
AC007969.4,0.014609571788413099
AC007969.5,0.07707808564231738
AC008063.3,0.003022670025188917
AC008065.1,0.023173803526448364
AC008079.10,0.003526448362720403
AC008155.1,0.009571788413098237
AC008155.2,0.003022670025188917
AC008264.4,0.008060453400503778
AC008427.2,0.004030226700251889
AC008686.1,0.0020151133501259445
AC008697.1,0.0015113350125944584
AC008753.3,0.0055415617128463475
AC008850.3,0.03929471032745592
AC008869.1,0.0020151133501259445
AC008982.2,0.05138539042821159
AC009005.2,0.0025188916876574307
AC009120.11,0.0020151133501259445
AC009120.3,0.027204030226700253
AC009120.6,0.01964735516372796
AC009237.8,0.007556675062972292
AC009245.3,0.040806045340050376
AC009264.1,0.004030226700251889
AC009299.3,0.018639798488664986
AC009303.2,0.004030226700251889
AC009303.3,0.0015113350125944584
AC009362.2,0.07103274559193955
