,perc_cells_expressed
A1BG,0.0028058361391694723
A1BG-AS1,0.026936026936026935
A2M-AS1,0.0016835016835016834
A4GALT,0.014590347923681257
AAAS,0.2053872053872054
AACS,0.20931537598204264
AADAT,0.021885521885521887
AAED1,0.17732884399551066
AAGAB,0.2833894500561167
AAK1,0.46520763187429853
AAMDC,0.0718294051627385
AAMP,0.32435465768799104
AAR2,0.0920314253647587
AARD,0.08417508417508418
AARS,0.3108866442199775
AARS2,0.052749719416386086
AARSD1,0.037037037037037035
AASDH,0.04377104377104377
AASDHPPT,0.17957351290684623
AASS,0.03535353535353535
AATF,0.3002244668911336
AATK,0.002244668911335578
AB019441.29,0.1419753086419753
ABALON,0.0016835016835016834
ABAT,0.03984287317620651
ABBA01017803.1,0.03928170594837262
ABCA1,0.23905723905723905
ABCA10,0.0028058361391694723
ABCA11P,0.006734006734006734
ABCA12,0.018518518518518517
ABCA13,0.0016835016835016834
ABCA17P,0.0016835016835016834
ABCA2,0.06228956228956229
ABCA5,0.02749719416386083
ABCA7,0.005050505050505051
ABCB10,0.08417508417508418
ABCB4,0.002244668911335578
ABCB7,0.12962962962962962
ABCB8,0.15488215488215487
ABCB9,0.03928170594837262
ABCC1,0.14758698092031425
ABCC10,0.06004489337822671
ABCC13,0.007295173961840628
ABCC2,0.002244668911335578
ABCC3,0.24017957351290684
ABCC4,0.10101010101010101
ABCC5,0.052749719416386086
ABCC9,0.002244668911335578
ABCD1,0.011784511784511785
ABCD3,0.26318742985409654
ABCD4,0.08866442199775533
ABCE1,0.26374859708193044
ABCF1,0.45230078563411896
ABCF2,0.3254769921436588
ABCF2P1,0.0016835016835016834
ABCF3,0.0819304152637486
ABCG1,0.12626262626262627
ABCG2,0.005611672278338945
ABCG4,0.0016835016835016834
ABHD1,0.0016835016835016834
ABHD10,0.11447811447811448
ABHD11,0.07575757575757576
ABHD12,0.14590347923681257
ABHD13,0.05499438832772166
ABHD14A,0.03928170594837262
ABHD14B,0.06004489337822671
ABHD15,0.0707070707070707
ABHD16B,0.0016835016835016834
ABHD17A,0.1324354657687991
ABHD17AP3,0.0016835016835016834
ABHD17B,0.04826038159371493
ABHD17C,0.03367003367003367
ABHD2,0.24635241301907967
ABHD3,0.0723905723905724
ABHD4,0.08249158249158249
ABHD5,0.0914702581369248
ABHD6,0.03535353535353535
ABHD8,0.020202020202020204
ABI1,0.12457912457912458
ABI2,0.31425364758698093
ABI3BP,0.011784511784511785
ABL1,0.26823793490460157
ABL2,0.4281705948372615
ABLIM1,0.31257014590347926
ABLIM3,0.43658810325476993
ABR,0.2345679012345679
ABRACL,0.15824915824915825
ABT1,0.22727272727272727
ABTB1,0.04152637485970819
ABTB2,0.04882154882154882
AC000068.10,0.0028058361391694723
AC000068.5,0.0028058361391694723
AC000089.3,0.029180695847362513
AC000123.2,0.012345679012345678
AC000123.3,0.005611672278338945
AC000367.1,0.0016835016835016834
AC002044.1,0.020763187429854096
AC002044.4,0.015712682379349047
AC002066.1,0.006734006734006734
AC002069.5,0.012906846240179574
AC002075.4,0.03423120089786756
AC002116.7,0.005611672278338945
AC002117.1,0.003928170594837262
AC002306.1,0.0016835016835016834
AC002310.12,0.006172839506172839
AC002310.7,0.002244668911335578
AC002398.11,0.007295173961840628
AC002398.13,0.0016835016835016834
AC002454.1,0.037598204264870934
AC002467.7,0.02132435465768799
AC002486.2,0.005050505050505051
AC002550.5,0.0016835016835016834
AC002550.6,0.006172839506172839
AC003075.4,0.014029180695847363
AC003080.4,0.0016835016835016834
AC003088.1,0.002244668911335578
AC003986.7,0.0016835016835016834
AC004000.1,0.003367003367003367
AC004019.13,0.0016835016835016834
AC004069.2,0.017957351290684626
AC004076.5,0.013468013468013467
AC004129.9,0.008417508417508417
AC004156.3,0.04040404040404041
AC004381.6,0.024130190796857465
AC004383.3,0.01122334455667789
AC004386.4,0.03984287317620651
AC004447.2,0.003367003367003367
AC004449.6,0.003367003367003367
AC004453.8,0.12682379349046016
AC004461.4,0.005611672278338945
AC004490.1,0.0016835016835016834
AC004510.3,0.0016835016835016834
AC004556.1,0.02861952861952862
AC004791.2,0.002244668911335578
AC004832.1,0.012906846240179574
AC004893.11,0.014590347923681257
AC004938.5,0.02749719416386083
AC004941.5,0.0028058361391694723
AC004951.6,0.024691358024691357
AC004967.7,0.003928170594837262
AC004980.7,0.005611672278338945
AC005017.2,0.004489337822671156
AC005019.2,0.017957351290684626
AC005027.3,0.002244668911335578
AC005037.3,0.003367003367003367
AC005042.2,0.014590347923681257
AC005076.5,0.007295173961840628
AC005083.1,0.0016835016835016834
AC005094.2,0.003367003367003367
AC005154.6,0.05443322109988777
AC005220.3,0.0016835016835016834
AC005224.2,0.008978675645342313
AC005229.7,0.016835016835016835
AC005251.3,0.03423120089786756
AC005253.2,0.003367003367003367
AC005253.4,0.005050505050505051
AC005255.3,0.002244668911335578
AC005256.1,0.003928170594837262
AC005262.2,0.008978675645342313
AC005262.4,0.06958473625140292
AC005300.5,0.004489337822671156
AC005306.3,0.0016835016835016834
AC005329.7,0.020202020202020204
AC005336.5,0.005611672278338945
AC005339.2,0.002244668911335578
AC005480.1,0.10998877665544332
AC005517.3,0.003367003367003367
AC005522.6,0.003367003367003367
AC005523.2,0.026374859708193043
AC005523.3,0.002244668911335578
AC005534.6,0.01627384960718294
AC005540.3,0.0016835016835016834
AC005546.2,0.0028058361391694723
AC005592.2,0.002244668911335578
AC005606.14,0.0016835016835016834
AC005606.15,0.002244668911335578
AC005682.5,0.031425364758698095
