,perc_cells_expressed
FO538757.2,0.16628839461340597
AP006222.2,0.2820396429111817
RP11-206L10.9,0.03949160236041761
LINC00115,0.01482826448781964
FAM41C,0.11741564533212286
RP11-54O7.3,0.009986382206082615
SAMD11,0.1684067181116659
NOC2L,0.6594038432440611
KLHL17,0.030715690724769255
PLEKHN1,0.04599788167650174
HES4,0.4574065668028446
ISG15,0.2915720986533515
AGRN,0.27250718716901196
C1orf159,0.09744288091995763
SDF4,0.7512482977757603
B3GALT6,0.07656226357996672
FAM132A,0.011650779240429718
UBE2J2,0.630352549553639
ACAP3,0.09638371917082766
PUSL1,0.38235739143592073
CPSF3L,0.44242699349372067
CPTP,0.25253442275684673
DVL1,0.17461037978514146
AURKAIP1,1.011802088061734
CCNL2,0.27598729005901046
MRPL20,0.993039794220003
VWA1,0.16613708579210168
ATAD3C,0.018157058556513846
ATAD3B,0.011499470419125435
ATAD3A,0.4148887880163413
SSU72,0.9335754274474202
RP5-832C2.5,0.018157058556513846
C1orf233,0.02965652897563928
RP11-345P4.9,0.026479043728249357
MIB2,0.15569677712210622
CDK11B,0.18429414434861552
SLC35E2B,0.07731880768648812
CDK11A,0.0926009986382206
SLC35E2,0.013315176274776819
NADK,0.2856710546224845
GNB1,0.6364049024058103
TMEM52,0.026327734906945077
PRKCZ,0.08079891057648661
FAAP20,0.7100922983809956
SKI,0.07020729308518686
MORN1,0.06763504312301408
RER1,0.8447571493418067
PEX10,0.32395218641246787
PANK4,0.06294446966258133
RP3-395M20.12,0.038735058253896205
FAM213B,0.12286276289907702
ARHGEF16,0.04070207293085187
MEGF6,0.008775911635648358
TPRG1L,0.1473747919503707
WRAP73,0.2249962172794674
TP73-AS1,0.052352852171281584
SMIM1,0.03419579361476774
LRRC47,0.28748676047813587
CEP104,0.23256165834468148
DFFB,0.03419579361476774
C1orf174,0.40293539113330307
NPHP4,0.021183234982599487
KCNAB2,0.10122560145256468
RP1-120G22.11,0.014223029202602511
RNF207,0.15690724769254047
ICMT,0.5071871690119534
LINC00337,0.021637161446512333
ACOT7,0.5725525798154032
HES2,0.02012407323346951
NOL9,0.17264336510818581
ZBTB48,0.0623392343773642
KLHL21,0.033590558329550615
PHF13,0.045543955212588895
THAP3,0.18595854138296264
DNAJC11,0.11045543955212589
CAMTA1,0.8291723407474656
VAMP3,0.33484642154637617
PER3,0.017551823271296715
TNFRSF9,0.01119685277651687
PARK7,1.010742926312604
ERRFI1,0.430776214253291
SLC45A1,0.03797851414737479
RERE,0.15615070358601907
ENO1,1.0148282644878197
ENO1-AS1,0.021183234982599487
GPR157,0.04236646996519897
MIR34AHG,0.021939779089120894
RP3-510D11.2,0.026176426085640792
H6PD,0.03934029353911333
SPSB1,0.16976849750340445
SLC25A33,0.4316840671811167
TMEM201,0.06173399909214707
PIK3CD,0.03510364654259343
PIK3CD-AS2,0.18747162959600544
CLSTN1,0.19019518837948252
CTNNBIP1,0.21939779089120895
LZIC,0.33756998032985325
NMNAT1,0.038735058253896205
RBP7,0.07066121954909971
UBE4B,0.08685126342865788
KIF1B,0.1432894537751551
PGD,0.9800272355878348
APITD1-CORT,0.014223029202602511
APITD1,0.5855651384475715
DFFA,0.4970494779845665
PEX14,0.12225752761385988
CASZ1,0.011499470419125435
TARDBP,0.5318505068845514
SRM,0.8612498108639733
EXOSC10,0.21697684975034046
RP4-635E18.6,0.041004690573460435
MTOR,0.13254652746255108
UBIAD1,0.1914056589499168
FBXO2,0.12876380692994402
FBXO44,0.12785595400211833
FBXO6,0.15312452715993344
MAD2L2,0.5689211681041004
AGTRAP,0.5819337267362688
MTHFR,0.03949160236041761
CLCN6,0.03313663186563777
KIAA2013,0.22348312906642456
PLOD1,0.2835527311242245
MFN2,0.1263428657890755
MIIP,0.21455590860947193
VPS13D,0.04735966106824028
DHRS3,0.4826751399606597
PRDM2,0.10969889544560447
KAZN,0.023906793766076562
TMEM51,0.22287789378120745
EFHD2,0.7346043274322893
CASP9,0.08942351339083068
DNAJC16,0.08352246935996369
AGMAT,0.18641246784687548
DDI2,0.1060674837343017
PLEKHM2,0.11272507187169012
FBLIM1,0.17400514449992435
UQCRHL,0.21031926161295203
FLJ37453,0.05870782266606143
SPEN,0.22257527613859887
ZBTB17,0.0850355575730065
FAM131C,0.30443334846421544
EPHA2,0.49568769859282796
ARHGEF19,0.08200938114692087
RSG1,0.014979573309123922
FBXO42,0.05265546981389015
SZRD1,0.613708579210168
NECAP2,0.3386291420789832
RP4-798A10.7,0.03828113178998336
NBPF1,0.10682402784082312
CROCC,0.035406264185202
RP11-108M9.4,0.07943713118474807
ATP13A2,0.10515963080647601
SDHB,0.8373430170978968
PADI2,0.00892722045695264
PADI1,0.013012558632168256
RCC2,0.30019670146769556
ARHGEF10L,0.02012407323346951
ACTL8,0.01407172038129823
KLHDC7A,0.016795279164775308
ALDH4A1,0.05628688152519292
IFFO2,0.05537902859736723
UBR4,0.4210924496898169
RP1-43E13.2,0.01044030866999546
EMC1,0.15221667423210772
MRTO4,0.7175064306249054
AKR7A2,0.669541534271448
PQLC2,0.09986382206082614
CAPZB,0.8592827961870178
MINOS1,0.875018913602663
NBL1,0.2764412165229233
TMCO4,0.05023452867302164
OTUD3,0.03994552882433046
CAMK2N1,0.2511726433651082
MUL1,0.18157058556513844
FAM43B,0.029202602511726433
CDA,0.3030715690724769
PINK1,0.20653654108034497
DDOST,0.633076108337116
SH2D5,0.07141776365562112
HP1BP3,0.628234226055379
EIF4G3,0.1567559388712362
ECE1,0.20335905583295505
NBPF3,0.040399455288243305
RAP1GAP,0.16068996822514753
USP48,0.3115448630655167
HSPG2,0.1812679679225299
LINC00339,0.10152821909517325
CDC42,0.8412770464518081
ZBTB40,0.050385837494325916
EPHB2,0.10258738084430322
KDM1A,0.341201392041156
LUZP1,0.39446209714026326
HTR1D,0.07943713118474807
LINC01355,0.023301558480859436
HNRNPR,0.8993796338326524
ZNF436,0.015130882130428205
ZNF436-AS1,0.04917536692389166
TCEA3,0.014223029202602511
ASAP3,0.012104705704342564
E2F2,0.056892116810410044
ID3,0.9552125888939326
TCEB3,0.30866999546073537
TCEB3-AS1,0.03222877893781208
PITHD1,0.35648358299288846
LYPLA2,0.41201392041156
GALE,0.5468300801936753
HMGCL,0.10288999848691179
FUCA1,0.10425177787865032
PNRC2,0.2576789226811923
SRSF10,0.70600696020578
MYOM3,0.010742926312604024
IL22RA1,0.013315176274776819
IFNLR1,0.01709789680738387
GRHL3,0.024058102587380843
STPG1,0.09335754274474202
NIPAL3,0.09714026327734906
RCAN3,0.18157058556513844
RP4-594I10.3,0.021637161446512333
NCMAP,0.01861098502042669
SRRM1,0.7618399152670601
CLIC4,0.1348161597821153
RUNX3,0.04251777878650325
SYF2,0.46572855197458013
RSRP1,0.16961718868210016
TMEM50A,0.7392949008927221
TMEM57,0.11000151308821304
LDLRAP1,0.11302768951429869
SEPN1,0.1709789680738387
MTFR1L,0.2953548191859585
AUNIP,0.10818580723256166
PAQR7,0.03374186715085489
STMN1,0.9337267362687245
PAFAH2,0.059766984415191404
PDIK1L,0.01800574973520956
ZNF593,0.8361325465274626
CEP85,0.06143138144953851
SH3BGRL3,0.9894083825087002
UBXN11,0.112119836586473
AIM1L,0.020275382054773795
DHDDS,0.13996065970646088
HMGN2,0.9373581479800273
ARID1A,0.3395369950068089
PIGV,0.09698895445604479
ZDHHC18,0.10334392495082463
SFN,0.7418671508548949
GPN2,0.24073233469511274
GPATCH3,0.08337116053865941
NUDC,0.9471932213648055
TRNP1,0.3156302012407323
FAM46B,0.010591617491299743
SLC9A1,0.060372219700408535
WDTC1,0.045543955212588895
TMEM222,0.28082917234074745
SYTL1,0.02315024965955515
MAP3K6,0.03510364654259343
GPR3,0.013163867453472538
WASF2,0.6795279164775306
AHDC1,0.09653502799213194
IFI6,0.11181721894386443
FAM76A,0.09971251323952186
STX12,0.1305795127855954
PPP1R8,0.288091995763353
RPA2,0.47314268421848993
SMPDL3B,0.021939779089120894
XKR8,0.10591617491299743
EYA3,0.050688455136934485
DNAJC8,0.7270388863670753
ATPIF1,0.9446209714026328
RP5-1092A3.4,0.013920411559993948
SESN2,0.05507641095475866
MED18,0.055832955061280075
PHACTR4,0.19564230594643667
RCC1,0.48237252231805117
TRNAU1AP,0.21591768800121047
SNHG12,0.0699046754425783
TAF12,0.46875472840066573
RP11-442N24--B.1,0.017703132092601
GMEB1,0.0960811015282191
YTHDF2,0.5695264033893176
EPB41,0.05189892570736874
SRSF4,0.5805719473445302
MECR,0.23558783477076714
PTPRU,0.028446058405205022
SDC3,0.022545014374338024
PUM1,0.24148887880163414
NKAIN1,0.011953396883038281
SNRNP40,0.6085640792858223
ZCCHC17,0.524133756998033
SERINC2,0.20078680587078226
TINAGL1,0.02012407323346951
PEF1,0.488727492812831
COL16A1,0.027084279013466484
ADGRB2,0.01709789680738387
PTP4A2,0.769859282796187
KHDRBS1,0.8638220608261462
TMEM39B,0.16144651233166893
KPNA6,0.2711454077772734
TXLNA,0.21637161446512332
CCDC28B,0.12513239521864125
IQCC,0.023906793766076562
TMEM234,0.11696171886821001
EIF3I,0.9326675745195945
HDAC1,0.5265546981389015
MARCKSL1,0.8695717960357089
FAM229A,0.016038735058253897
BSDC1,0.1693145710394916
ZBTB8A,0.036919352398244815
ZBTB8OS,0.5333635950975942
RBBP4,0.4133756998032985
SYNC,0.15357845362384628
RP11-114B7.6,0.011348161597821153
KIAA1522,0.15978211529732184
YARS,0.5350279921319413
S100PBP,0.12694810107429264
TMEM54,0.5268573157815101
RNF19B,0.05704342563171433
AK2,0.8057194734453018
AZIN2,0.01104554395521259
ZNF362,0.04070207293085187
PHC2,0.16583446814949312
RP11-415J8.5,0.01255863216825541
ZSCAN20,0.013920411559993948
SMIM12,0.6892116810410047
GJB3,0.060977454985625665
ZMYM6,0.04448479346345892
ZMYM1,0.058405205023452866
SFPQ,0.8774398547435316
ZMYM4,0.112119836586473
KIAA0319L,0.11635648358299289
NCDN,0.011650779240429718
PSMB2,0.9626267211378423
C1orf216,0.12361930700559842
CLSPN,0.5353306097745498
AGO4,0.01255863216825541
AGO1,0.09154183688909064
AGO3,0.11166591012256015
ADPRHL2,0.33908306854289605
TRAPPC3,0.8377969435618097
MAP7D1,0.5787562414888788
THRAP3,0.7459524890301105
EVA1B,0.3631411711302769
STK40,0.09714026327734906
LSM10,0.88303828113179
OSCP1,0.05386594038432441
MRPS15,0.9369042215161144
LINC01137,0.20245120290512936
ZC3H12A,0.10440308669995461
MEAF6,0.5282190951732486
SNIP1,0.056135572703888637
GNL2,0.2788621576637918
C1orf109,0.2071417763655621
CDCA8,0.23362082009381147
MANEAL,0.07050991072779543
YRDC,0.16991980632470874
C1orf122,0.7781812679679225
MTF1,0.10561355727038886
INPP5B,0.027992131941292176
SF3A3,0.5038583749432592
FHL3,0.11227114540777727
UTP11L,0.5062793160841277
RRAGC,0.2299894083825087
RP5-864K19.4,0.018157058556513846
MYCBP,0.288091995763353
RHBDL2,0.056892116810410044
AKIRIN1,0.5102133454380391
NDUFS5,1.0062036616734755
MACF1,0.34074746557724317
RP11-69E11.4,0.027992131941292176
PABPC4,0.46451808140414586
HEYL,0.01709789680738387
PPIE,0.5521258889393251
BMP8B,0.025722499621727946
TRIT1,0.12256014525646845
MFSD2A,0.045543955212588895
CAP1,0.8064760175518233
PPT1,0.42336208200938114
RLF,0.03934029353911333
RP1-39G22.7,0.0488727492812831
ZMPSTE24,0.29187471629596007
SMAP2,0.09123921924648207
ZFP69B,0.01800574973520956
EXO5,0.03480102889998487
ZNF684,0.05764866091693146
RIMS3,0.012256014525646845
NFYC-AS1,0.013617793917385384
NFYC,0.4117113027689514
CITED4,0.10500832198517174
CTPS1,0.5602965652897564
SCMH1,0.08443032228778938
EDN2,0.03147223483129066
HIVEP3,0.04690573460432743
GUCA2B,0.026630352549553638
FOXJ3,0.12180360114994704
RIMKLA,0.13118474807081254
PPCS,0.3958238765320018
CCDC30,0.011650779240429718
PPIH,0.48418822817370255
YBX1,1.0160387350582538
P3H1,0.17793917385383567
C1orf50,0.20683915872295355
SVBP,0.4649720078680587
ERMAP,0.025722499621727946
RP11-342M1.3,0.021334543803903767
ZNF691,0.06415494023301559
SLC2A1,0.49477984566500227
SLC2A1-AS1,0.0252685731578151
FAM183A,0.017703132092601
EBNA1BP2,0.9863822060826146
RP1-92O14.3,0.04176123467998184
CDC20,0.7241640187622939
ELOVL1,0.5904070207293085
MED8,0.5150552277197761
SZT2,0.035254955363897715
HYI,0.19019518837948252
PTPRF,0.3993039794220003
KDM4A,0.09033136631865638
KDM4A-AS1,0.05416855802693297
ST3GAL3,0.013920411559993948
IPO13,0.07035860190649115
DPH2,0.33847783325767894
ATP6V0B,0.9503707066121955
B4GALT2,0.17824179149644423
CCDC24,0.11378423362082009
SLC6A9,0.0623392343773642
RP5-1198O20.4,0.04448479346345892
DMAP1,0.2841579664094417
ERI3,0.6699954607353609
RNF220,0.2941443486155243
TMEM53,0.15478892419428053
KIF2C,0.20426690876078074
PLK3,0.10818580723256166
EIF2B3,0.31472234831290663
HECTD3,0.03843244061128764
UROD,0.34150400968376454
HPDL,0.08821304282039642
MUTYH,0.08548948403691935
TOE1,0.1702224239673173
CCDC163P,0.017400514449992435
MMACHC,0.09592979270691482
PRDX1,1.0148282644878197
AKR1A1,0.6746860341957936
NASP,0.6182478438492964
GPBP1L1,0.20502345286730217
TMEM69,0.14449992434558934
IPP,0.053260705099107276
MAST2,0.11575124829777576
PIK3R3,0.02814344076259646
TSPAN1,0.031018308367377817
POMGNT1,0.364805568164624
RAD54L,0.08412770464518081
LRRC41,0.2756846724164019
UQCRH,1.0142230292026024
NSUN4,0.0741413224390982
MKNK1,0.3271296716598578
MOB3C,0.021031926161295202
ATPAF1,0.46572855197458013
EFCAB14,0.1973067029807838
LINC00853,0.021183234982599487
PDZK1IP1,0.042063852322590405
STIL,0.0715690724769254
CMPK1,0.629293387804509
FOXD2-AS1,0.013769102738689665
FOXD2,0.011953396883038281
SPATA6,0.018308367377818126
FAF1,0.15554546830080193
CDKN2C,0.22590407020729308
RNF11,0.22302920260251172
TTC39A,0.03722197004085338
EPS15,0.1304282039642911
OSBPL9,0.2879406869420487
NRDC,0.5298834922075957
RAB3B,0.18837948252383113
TXNDC12,0.6985928279618702
KTI12,0.2805265546981389
BTF3L4,0.5899530942653957
ZFYVE9,0.04372824935693751
CC2D1B,0.08488424875170222
ORC1,0.11363292479951581
PRPF38A,0.3021637161446512
ZCCHC11,0.21667423210773187
COA7,0.306854289605084
ZYG11B,0.10848842487517023
ZYG11A,0.01785444091390528
ECHDC2,0.18429414434861552
SCP2,0.5422908155545468
CPT2,0.07807535179300953
C1orf123,0.43682856710546225
MAGOH,0.6052352852171281
RP5-1024G6.5,0.009835073384778332
LRP8,0.15509154183688909
NDC1,0.22847632016946587
YIPF1,0.13496746860341957
HSPB11,0.7464064154940233
LRRC42,0.3033741867150855
TMEM59,0.672719019518838
TCEANC2,0.03797851414737479
CYB5RL,0.060372219700408535
MRPL37,0.782720532607051
SSBP3,0.048116205174761686
ACOT11,0.017249205628688154
TTC4,0.013617793917385384
PARS2,0.04160992585867756
DHCR24,0.24557421697684975
PCSK9,0.035406264185202
USP24,0.09502193977908913
