,perc_cells_expressed
FO538757.2,0.23991507430997877
AP006222.2,0.3223637650389243
RP11-206L10.9,0.05874026893135174
LINC00115,0.025477707006369428
FAM41C,0.23213021939136588
SAMD11,0.06157112526539278
NOC2L,0.7947629157820241
KLHL17,0.04670912951167728
PLEKHN1,0.11394196744515216
RP11-54O7.17,0.01521585279547063
HES4,0.6705590941259731
ISG15,0.910828025477707
AGRN,0.5576786978060864
RNF223,0.024062278839348902
C1orf159,0.12491153573956122
RP11-465B22.8,0.017338995046001414
TNFRSF18,0.020877565463552725
SDF4,0.8825194621372965
B3GALT6,0.14295824486907288
FAM132A,0.021231422505307854
UBE2J2,0.8036093418259024
SCNN1D,0.012031139419674451
ACAP3,0.10615711252653928
PUSL1,0.5240622788393489
CPSF3L,0.5590941259731068
CPTP,0.3198867657466384
DVL1,0.26716206652512386
AURKAIP1,1.0138004246284502
CCNL2,0.3464260438782732
MRPL20,0.9989384288747346
VWA1,0.09624911535739561
ATAD3C,0.01592356687898089
ATAD3B,0.29688605803255486
ATAD3A,0.46744515215852794
SSU72,0.9295824486907289
RP5-832C2.5,0.021231422505307854
C1orf233,0.09589525831564048
RP11-345P4.9,0.08174097664543524
MIB2,0.19532908704883228
CDK11B,0.23743807501769285
RP11-345P4.10,0.012738853503184714
SLC35E2B,0.10368011323425336
CDK11A,0.13411181882519463
NADK,0.42604387827317763
GNB1,0.7689313517338995
RP1-140A9.1,0.01875442321302194
TMEM52,0.19815994338287332
PRKCZ,0.19639065817409768
FAAP20,0.9302901627742393
SKI,0.10049539985845718
MORN1,0.055909412597310686
RER1,0.9677990092002831
PEX10,0.37367303609341823
PANK4,0.07289455060155697
RP3-395M20.12,0.06935598018400566
TNFRSF14,0.013446567586694975
FAM213B,0.1542816702052371
TTC34,0.01167728237791932
ARHGEF16,0.0983722576079264
TPRG1L,0.22823779193205945
WRAP73,0.2770700636942675
TP73-AS1,0.1121726822363765
SMIM1,0.1613588110403397
LRRC47,0.24769992922859166
CEP104,0.07749469214437367
DFFB,0.036093418259023353
C1orf174,0.46532200990799716
NPHP4,0.041401273885350316
KCNAB2,0.14366595895258316
CHD5,0.01521585279547063
RP1-120G22.11,0.029723991507430998
RNF207,0.23779193205944799
ICMT,0.7285916489738146
LINC00337,0.037154989384288746
GPR153,0.017338995046001414
ACOT7,0.5750176928520877
RP1-202O8.3,0.01910828025477707
HES2,0.01167728237791932
TNFRSF25,0.0399858457183298
PLEKHG5,0.0435244161358811
NOL9,0.23637650389242745
ZBTB48,0.09907997169143666
KLHL21,0.07183297947629158
PHF13,0.09094125973106865
THAP3,0.27034677990092004
DNAJC11,0.16100495399858458
CAMTA1,0.883934890304317
VAMP3,0.5371549893842887
PER3,0.08103326256192499
TNFRSF9,0.024416135881104035
PARK7,1.0155697098372258
ERRFI1,0.754069355980184
RP11-431K24.1,0.012384996461429583
SLC45A1,0.03503184713375796
RERE,0.186482661004954
ENO1,1.0180467091295118
ENO1-AS1,0.021585279547062988
GPR157,0.06687898089171974
H6PD,0.05343241330502477
SPSB1,0.20983722576079264
SLC25A33,0.5392781316348195
TMEM201,0.08846426043878274
PIK3CD,0.08138711960368011
PIK3CD-AS2,0.1316348195329087
CLSTN1,0.2770700636942675
CTNNBIP1,0.45364472753007784
LZIC,0.36553432413305026
NMNAT1,0.07077140835102619
RBP7,0.6560509554140127
UBE4B,0.11252653927813164
KIF1B,0.1532200990799717
PGD,0.5169851380042463
RP4-736L20.3,0.010615711252653927
APITD1,0.527246992215145
DFFA,0.6882519462137296
PEX14,0.15251238499646144
CASZ1,0.11535739561217269
TARDBP,0.5990799716914367
SRM,0.9239207360226469
EXOSC10,0.31316348195329086
RP4-635E18.6,0.04600141542816702
MTOR,0.216206652512385
UBIAD1,0.3170559094125973
FBXO2,0.44090587402689313
FBXO44,0.0983722576079264
FBXO6,0.10120311394196745
MAD2L2,0.7547770700636943
AGTRAP,0.667374380750177
MTHFR,0.04175513092710545
CLCN6,0.07466383581033263
KIAA2013,0.25831564048124556
PLOD1,0.2151450813871196
MFN2,0.23708421797593773
MIIP,0.4058740268931352
TNFRSF1B,0.020877565463552725
VPS13D,0.056617126680820945
