,perc_cells_expressed
RP11-34P13.7,0.014598540145985401
FO538757.2,0.28884254431699685
AP006222.2,0.18613138686131386
RP4-669L17.2,0.011991657977059436
RP11-206L10.9,0.03962460896767466
LINC00115,0.015119916579770595
FAM41C,0.09071949947862357
RP11-54O7.1,0.02346193952033368
RP11-54O7.3,0.10636079249217935
SAMD11,0.32116788321167883
NOC2L,0.7679874869655892
KLHL17,0.07194994786235662
PLEKHN1,0.09436913451511991
PERM1,0.027111574556830033
RP11-54O7.17,0.048488008342022944
HES4,0.9150156412930136
ISG15,0.9661105318039624
AGRN,0.5599582898852972
RNF223,0.3477580813347237
C1orf159,0.13555787278415016
RP11-465B22.8,0.0443169968717414
TTLL10,0.008863399374348279
TNFRSF18,0.2497393117831074
SDF4,0.778415015641293
B3GALT6,0.16579770594369134
FAM132A,0.026590198123044837
UBE2J2,0.7116788321167883
SCNN1D,0.014598540145985401
ACAP3,0.278415015641293
PUSL1,0.42961418143899893
CPSF3L,0.4708029197080292
CPTP,0.2424400417101147
DVL1,0.21584984358706985
AURKAIP1,1.0031282586027113
CCNL2,0.45307612095933264
MRPL20,0.9895724713242962
RP4-758J18.13,0.035453597497393116
VWA1,0.13607924921793535
ATAD3C,0.03336809176225235
ATAD3B,0.16579770594369134
ATAD3A,0.37747653806047965
SSU72,0.9045881126173096
RP5-832C2.5,0.05057351407716371
C1orf233,0.3461939520333681
RP11-345P4.9,0.09332638164754953
MIB2,0.235140771637122
MMP23B,0.010427528675703858
CDK11B,0.2273201251303441
RP11-345P4.10,0.03180396246089677
SLC35E2B,0.22888425443169969
CDK11A,0.12773722627737227
SLC35E2,0.022419186652763295
NADK,0.49061522419186654
GNB1,0.7679874869655892
TMEM52,0.18665276329509906
GABRD,0.02502606882168926
PRKCZ,0.2862356621480709
FAAP20,0.7789363920750783
SKI,0.13660062565172054
MORN1,0.053180396246089674
RER1,0.8748696558915537
PEX10,0.36496350364963503
PANK4,0.0735140771637122
RP3-395M20.12,0.3175182481751825
FAM213B,0.26329509906152243
MMEL1,0.14754953076120958
PRDM16,0.03023983315954119
ARHGEF16,0.22940563086548488
MEGF6,0.040145985401459854
TPRG1L,0.21637122002085507
WRAP73,0.27685088633993743
TP73,0.04535974973931178
SMIM1,0.22471324296141815
LRRC47,0.3237747653806048
CEP104,0.26746611053180397
DFFB,0.03753910323253389
C1orf174,0.29979144942648595
NPHP4,0.05995828988529719
KCNAB2,0.06934306569343066
CHD5,0.07716371220020855
RP1-120G22.11,0.009906152241918665
RNF207,0.1246089676746611
ICMT,0.43899895724713245
LINC00337,0.03023983315954119
GPR153,0.08394160583941605
ACOT7,0.4781021897810219
RP1-202O8.3,0.030761209593326382
HES2,0.06360792492179354
ESPN,0.10948905109489052
TNFRSF25,0.03858185610010428
PLEKHG5,0.04953076120959333
NOL9,0.1991657977059437
ZBTB48,0.07924921793534932
KLHL21,0.08394160583941605
PHF13,0.10896767466110532
THAP3,0.20750782064650677
DNAJC11,0.15797705943691345
RP11-312B8.1,0.015119916579770595
CAMTA1,0.9113660062565172
VAMP3,0.3915537017726799
PER3,0.06882168925964546
PARK7,0.9994786235662148
ERRFI1,0.2789363920750782
RP11-431K24.1,0.014598540145985401
RERE,0.2533889468196038
ENO1,1.0015641293013555
ENO1-AS1,0.06360792492179354
GPR157,0.14442127215849843
MIR34AHG,0.02502606882168926
RP3-510D11.2,0.08185610010427528
H6PD,0.1032325338894682
SPSB1,0.1465067778936392
SLC25A33,0.4301355578727841
TMEM201,0.08029197080291971
PIK3CD,0.017726798748696558
PIK3CD-AS2,0.048488008342022944
CLSTN1,0.3691345151199166
CTNNBIP1,0.7455683003128258
LZIC,0.3988529718456726
NMNAT1,0.11939520333680918
RBP7,0.22992700729927007
UBE4B,0.2492179353493222
KIF1B,0.22679874869655892
PGD,0.7393117831074035
APITD1,0.44473409801876956
DFFA,0.5802919708029197
PEX14,0.11887382690302398
CASZ1,0.16944734098018768
TARDBP,0.5604796663190824
SRM,0.8107403545359749
EXOSC10,0.1996871741397289
RP4-635E18.6,0.07768508863399375
