,perc_cells_expressed
FO538757.2,0.2755834829443447
AP006222.2,0.23070017953321365
RP11-206L10.9,0.04847396768402154
LINC00115,0.010771992818671455
FAM41C,0.12746858168761221
SAMD11,0.02423698384201077
NOC2L,0.6220825852782765
KLHL17,0.03321364452423698
PLEKHN1,0.05834829443447038
RP11-54O7.17,0.01615798922800718
HES4,0.6229802513464991
ISG15,0.5933572710951526
AGRN,0.33662477558348297
RNF223,0.06912028725314183
C1orf159,0.09964093357271095
RP11-465B22.8,0.00807899461400359
SDF4,0.6938958707360862
B3GALT6,0.12477558348294435
FAM132A,0.01436265709156194
UBE2J2,0.6400359066427289
ACAP3,0.10053859964093358
PUSL1,0.39587073608617596
CPSF3L,0.36714542190305205
CPTP,0.2971274685816876
DVL1,0.23608617594254938
AURKAIP1,1.0098743267504489
CCNL2,0.26929982046678635
MRPL20,0.9775583482944344
ANKRD65,0.026032315978456014
VWA1,0.05026929982046679
ATAD3C,0.02244165170556553
ATAD3B,0.33213644524236985
ATAD3A,0.3393177737881508
SSU72,0.952423698384201
RP5-832C2.5,0.011669658886894075
RP11-345P4.9,0.02423698384201077
MIB2,0.11041292639138241
CDK11B,0.16606822262118492
SLC35E2B,0.1310592459605027
CDK11A,0.09605026929982047
NADK,0.39228007181328545
GNB1,0.578096947935368
RP1-140A9.1,0.012567324955116697
TMEM52,0.017953321364452424
PRKCZ,0.10502692998204669
FAAP20,0.6535008976660682
SKI,0.06463195691202872
MORN1,0.04847396768402154
RER1,0.8913824057450629
PEX10,0.2414721723518851
PANK4,0.03052064631956912
RP3-395M20.12,0.01615798922800718
FAM213B,0.06732495511669659
PRDM16,0.008976660682226212
ARHGEF16,0.22262118491921004
TPRG1L,0.18940754039497307
WRAP73,0.19030520646319568
TP73-AS1,0.03321364452423698
SMIM1,0.0421903052064632
LRRC47,0.20915619389587073
CEP104,0.20197486535008977
DFFB,0.03141831238779174
C1orf174,0.39317773788150806
NPHP4,0.026032315978456014
KCNAB2,0.08348294434470377
RNF207,0.08707360861759425
ICMT,0.49730700179533216
LINC00337,0.0062836624775583485
GPR153,0.09156193895870736
ACOT7,0.3635547576301616
HES2,0.05026929982046679
TNFRSF25,0.017953321364452424
PLEKHG5,0.019748653500897665
NOL9,0.21723518850987433
ZBTB48,0.08707360861759425
KLHL21,0.10323159784560143
PHF13,0.05475763016157989
THAP3,0.13464991023339318
DNAJC11,0.12118491921005387
CAMTA1,0.8357271095152603
VAMP3,0.2800718132854578
