,perc_cells_expressed
A1BG-AS1,0.02245028864656831
A4GALT,0.01860166773572803
AAAS,0.1892238614496472
AACS,0.15843489416292494
AADAT,0.01860166773572803
AAED1,0.14111610006414368
AAGAB,0.2386144964720975
AAK1,0.3983322642719692
AAMDC,0.06350224502886466
AAMP,0.29634381013470174
AAR2,0.09621552277100706
AARD,0.07248236048749199
AARS,0.25336754329698524
AARS2,0.045542014111610005
AARSD1,0.021808851828094934
AASDH,0.030147530468248876
AASDHPPT,0.13662604233483003
AASS,0.026298909557408594
AATBC,0.001924310455420141
AATF,0.28992944194996795
AATK,0.001924310455420141
AB019441.29,0.11225144323284157
ABALON,0.001924310455420141
ABAT,0.040410519563822966
ABBA01017803.1,0.028223220012828735
ABCA1,0.19499679281590762
ABCA11P,0.001924310455420141
ABCA12,0.01603592046183451
ABCA13,0.003848620910840282
ABCA2,0.059012187299550996
ABCA5,0.030788967286722257
ABCA6,0.003207184092366902
ABCA7,0.004490057729313663
ABCB10,0.06029506093649775
ABCB7,0.09108402822322001
ABCB8,0.13149454778704298
ABCB9,0.03143040410519564
ABCC1,0.10455420141116101
ABCC10,0.055805003207184095
ABCC13,0.014111610006414367
ABCC3,0.18216805644644002
ABCC4,0.06799230275817832
ABCC5,0.045542014111610005
ABCC9,0.0025657472738935213
ABCD1,0.012828736369467608
ABCD3,0.19114817190506736
ABCD4,0.07248236048749199
ABCE1,0.19627966645285438
ABCF1,0.4053880692751764
ABCF2,0.2687620269403464
ABCF3,0.0686337395766517
ABCG1,0.13534316869788326
ABCG2,0.003207184092366902
ABHD1,0.003848620910840282
ABHD10,0.08787684413085312
ABHD11,0.06414368184733804
ABHD12,0.11738293778062861
ABHD13,0.059012187299550996
ABHD14A,0.023091725465041693
ABHD14B,0.055163566388710714
ABHD15,0.05388069275176395
ABHD16A,0.003848620910840282
ABHD16B,0.001924310455420141
ABHD17A,0.11738293778062861
ABHD17B,0.04361770365618987
ABHD17C,0.026298909557408594
ABHD2,0.2065426555484285
ABHD3,0.04169339320076972
ABHD4,0.0654265554842848
ABHD5,0.06414368184733804
ABHD6,0.025016035920461834
ABHD8,0.011545862732520847
ABI1,0.1013470173187941
ABI2,0.25593329057087877
ABI3BP,0.015394483643361129
ABL1,0.22706863373957664
ABL2,0.37716484926234767
ABLIM1,0.25400898011545864
ABLIM3,0.359204618345093
ABR,0.18216805644644002
ABRACL,0.15137908915971776
ABT1,0.18345093008338678
ABTB1,0.03527902501603592
ABTB2,0.03527902501603592
AC000068.5,0.001924310455420141
AC000068.9,0.001924310455420141
AC000089.3,0.036561898652982684
AC000123.2,0.009621552277100705
AC000123.3,0.003848620910840282
AC002044.1,0.015394483643361129
AC002044.4,0.01667735728030789
AC002066.1,0.003848620910840282
AC002069.5,0.012828736369467608
AC002075.4,0.028864656831302116
AC002116.7,0.003848620910840282
AC002117.1,0.0025657472738935213
AC002310.12,0.003848620910840282
AC002398.11,0.001924310455420141
AC002454.1,0.03335471456061578
AC002467.7,0.01860166773572803
AC002543.2,0.001924310455420141
AC002550.6,0.004490057729313663
AC003075.4,0.010262989095574085
AC003080.4,0.007055805003207184
AC003088.1,0.001924310455420141
AC004000.1,0.003207184092366902
AC004067.5,0.001924310455420141
AC004069.2,0.013470173187940988
AC004076.5,0.007697241821680564
AC004129.9,0.007697241821680564
