,perc_cells_expressed
FO538757.2,0.14415289925494007
AP006222.2,0.22837706511175898
RP11-206L10.9,0.027858762552640103
LINC00115,0.014577259475218658
FAM41C,0.10366051182377713
RP11-54O7.3,0.020732102364755426
SAMD11,0.3569808875931325
NOC2L,0.5438937479753806
KLHL17,0.03142209264658244
PLEKHN1,0.0641399416909621
HES4,0.4243602202785876
ISG15,0.3291221250404924
AGRN,0.2750242954324587
C1orf159,0.09426627793974733
SDF4,0.7450599287333981
B3GALT6,0.0829284094590217
FAM132A,0.02364755425979916
UBE2J2,0.5879494655004859
ACAP3,0.1010689990281827
PUSL1,0.3281503077421445
CPSF3L,0.3631357304826693
CPTP,0.239067055393586
DVL1,0.2685455134434726
AURKAIP1,1.0019436345966959
CCNL2,0.2743764172335601
MRPL20,0.9708454810495627
VWA1,0.12633624878522837
ATAD3C,0.019760285066407514
ATAD3A,0.33495302883057987
SSU72,0.9080012957563978
RP5-832C2.5,0.014577259475218658
C1orf233,0.024295432458697766
RP11-345P4.9,0.02105604146420473
MIB2,0.148364107547781
CDK11B,0.17233560090702948
SLC35E2B,0.07450599287333981
CDK11A,0.09426627793974733
SLC35E2,0.012309685779073534
NADK,0.2714609653385164
GNB1,0.6715257531584062
TMEM52,0.017816650469711693
PRKCZ,0.09750566893424037
FAAP20,0.7029478458049887
SKI,0.10042112082928409
MORN1,0.05215419501133787
RER1,0.7563977972141237
PEX10,0.2921930677032718
PANK4,0.04891480401684483
RP3-395M20.12,0.03466148364107548
FAM213B,0.11661807580174927
ARHGEF16,0.03206997084548105
TPRG1L,0.15160349854227406
WRAP73,0.2018140589569161
TP73-AS1,0.06057661159701976
SMIM1,0.031746031746031744
LRRC47,0.25267249757045673
CEP104,0.2118561710398445
DFFB,0.021703919663103338
C1orf174,0.4003887269193392
NPHP4,0.02397149335924846
KCNAB2,0.06802721088435375
RNF207,0.14156138645934566
ICMT,0.4839650145772595
LINC00337,0.017816650469711693
GPR153,0.010689990281827016
ACOT7,0.5254292193067703
HES2,0.0275348234531908
TNFRSF25,0.007774538386783284
PLEKHG5,0.01652089407191448
NOL9,0.14868804664723032
ZBTB48,0.042759961127308066
KLHL21,0.043731778425655975
PHF13,0.04891480401684483
THAP3,0.16196954972465177
DNAJC11,0.10301263362487852
CAMTA1,0.8600583090379009
VAMP3,0.3825720764496275
PER3,0.01198574667962423
TNFRSF9,0.01004211208292841
PARK7,1.0071266601878848
ERRFI1,0.28085519922254615
SLC45A1,0.015225137674117265
RERE,0.18820861678004536
ENO1,1.0123096857790734
GPR157,0.0638160025915128
MIR34AHG,0.024943310657596373
RP3-510D11.2,0.028830579850988015
H6PD,0.05150631681243926
SPSB1,0.3155166828636216
SLC25A33,0.3025591188856495
TMEM201,0.05150631681243926
PIK3CD,0.0923226433430515
PIK3CD-AS2,0.13119533527696792
CLSTN1,0.3368966634272757
CTNNBIP1,0.2669258179462261
LZIC,0.2989957887917072
NMNAT1,0.04470359572400389
RBP7,0.1010689990281827
UBE4B,0.10916747651441529
KIF1B,0.1645610625202462
PGD,0.9186912860382248
APITD1-CORT,0.01295756397797214
APITD1,0.45351473922902497
DFFA,0.41852931648850017
PEX14,0.09005506964690638
CASZ1,0.01295756397797214
TARDBP,0.5124716553287982
SRM,0.7690314220926466
EXOSC10,0.19695497246517654
RP4-635E18.6,0.03142209264658244
MTOR,0.13670229996760608
UBIAD1,0.16358924522189827
FBXO2,0.17395529640427598
FBXO44,0.12050534499514091
FBXO6,0.14868804664723032
MAD2L2,0.467444120505345
AGTRAP,0.5895691609977324
MTHFR,0.03952057013281503
CLCN6,0.028830579850988015
KIAA2013,0.21574344023323616
PLOD1,0.29705215419501135
MFN2,0.12277291869128604
MIIP,0.21801101392938127
VPS13D,0.05118237771298996
