,perc_cells_expressed
FO538757.2,0.15546268656716417
AP006222.2,0.2573134328358209
RP11-206L10.9,0.03307462686567164
LINC00115,0.013492537313432836
FAM41C,0.11235820895522389
RP11-54O7.3,0.011343283582089553
SAMD11,0.19749253731343283
NOC2L,0.6158805970149254
KLHL17,0.023522388059701492
PLEKHN1,0.055641791044776116
HES4,0.5025671641791045
ISG15,0.36608955223880596
AGRN,0.3069850746268657
C1orf159,0.09934328358208955
SDF4,0.7364776119402985
B3GALT6,0.07534328358208955
UBE2J2,0.6084776119402985
ACAP3,0.08417910447761194
PUSL1,0.34053731343283583
CPSF3L,0.4117014925373134
CPTP,0.24250746268656717
DVL1,0.1426865671641791
AURKAIP1,1.004537313432836
CCNL2,0.26340298507462684
MRPL20,0.9812537313432835
VWA1,0.1333731343283582
ATAD3C,0.02101492537313433
ATAD3B,0.012298507462686566
ATAD3A,0.37122388059701494
SSU72,0.9188059701492537
RP5-832C2.5,0.017194029850746268
C1orf233,0.027343283582089553
RP11-345P4.9,0.024119402985074628
MIB2,0.1248955223880597
CDK11B,0.17277611940298507
SLC35E2B,0.08035820895522389
CDK11A,0.08788059701492537
SLC35E2,0.01253731343283582
NADK,0.2782089552238806
GNB1,0.6321194029850746
TMEM52,0.019940298507462685
PRKCZ,0.08632835820895522
FAAP20,0.6840597014925374
SKI,0.0733134328358209
MORN1,0.058865671641791045
RER1,0.8343880597014925
PEX10,0.3075820895522388
PANK4,0.05158208955223881
RP3-395M20.12,0.03474626865671642
FAM213B,0.11450746268656717
ARHGEF16,0.05122388059701492
TPRG1L,0.14519402985074628
WRAP73,0.22161194029850748
TP73-AS1,0.05588059701492537
SMIM1,0.025791044776119404
LRRC47,0.29313432835820896
CEP104,0.22292537313432836
DFFB,0.032119402985074624
C1orf174,0.3967761194029851
NPHP4,0.02447761194029851
KCNAB2,0.08895522388059701
RP1-120G22.11,0.013373134328358209
RNF207,0.1897313432835821
ICMT,0.4888358208955224
LINC00337,0.018746268656716417
ACOT7,0.5631044776119403
HES2,0.015164179104477612
PLEKHG5,0.011343283582089553
NOL9,0.16370149253731342
ZBTB48,0.04835820895522388
KLHL21,0.040119402985074624
PHF13,0.04788059701492537
THAP3,0.18053731343283583
DNAJC11,0.09719402985074627
CAMTA1,0.8218507462686567
VAMP3,0.352
PER3,0.01791044776119403
TNFRSF9,0.10471641791044776
PARK7,1.006089552238806
ERRFI1,0.3968955223880597
SLC45A1,0.031044776119402984
RERE,0.1480597014925373
ENO1,1.0076417910447761
ENO1-AS1,0.021492537313432834
GPR157,0.05146268656716418
MIR34AHG,0.01791044776119403
RP3-510D11.2,0.025791044776119404
H6PD,0.05265671641791045
SPSB1,0.18746268656716417
SLC25A33,0.34638805970149256
TMEM201,0.056238805970149255
PIK3CD,0.048
PIK3CD-AS2,0.15044776119402986
CLSTN1,0.19665671641791044
