,perc_cells_expressed
FO538757.2,0.23157514450867053
AP006222.2,0.319364161849711
RP11-206L10.9,0.05455202312138728
LINC00115,0.03251445086705202
FAM41C,0.20773121387283236
SAMD11,0.07261560693641618
NOC2L,0.7839595375722543
KLHL17,0.04588150289017341
PLEKHN1,0.11307803468208093
RP11-54O7.17,0.014450867052023121
HES4,0.5935693641618497
ISG15,0.8706647398843931
AGRN,0.5169797687861272
RNF223,0.02023121387283237
C1orf159,0.11343930635838151
TNFRSF18,0.032153179190751446
SDF4,0.8666907514450867
B3GALT6,0.1513728323699422
FAM132A,0.02601156069364162
UBE2J2,0.789378612716763
SCNN1D,0.014450867052023121
ACAP3,0.12463872832369942
PUSL1,0.5184248554913294
CPSF3L,0.5335982658959537
CPTP,0.3236994219653179
DVL1,0.27601156069364163
AURKAIP1,1.009393063583815
CCNL2,0.33309248554913296
MRPL20,0.9963872832369942
VWA1,0.10657514450867052
ATAD3C,0.015895953757225433
ATAD3B,0.27673410404624277
ATAD3A,0.4916907514450867
SSU72,0.9104046242774566
RP5-832C2.5,0.02384393063583815
C1orf233,0.10838150289017341
RP11-345P4.9,0.07153179190751445
MIB2,0.20592485549132947
CDK11B,0.24060693641618497
RP11-345P4.10,0.008670520231213872
SLC35E2B,0.10007225433526011
CDK11A,0.12283236994219653
NADK,0.45809248554913296
GNB1,0.7489161849710982
RP1-140A9.1,0.025289017341040464
TMEM52,0.19147398843930635
GABRD,0.00939306358381503
PRKCZ,0.17377167630057805
FAAP20,0.923771676300578
SKI,0.08489884393063583
MORN1,0.06611271676300579
RER1,0.9573699421965318
PEX10,0.3861994219653179
PANK4,0.07803468208092486
RP3-395M20.12,0.07369942196531792
TNFRSF14,0.008309248554913294
FAM213B,0.1813583815028902
TTC34,0.014089595375722543
ARHGEF16,0.09393063583815028
TPRG1L,0.22326589595375723
WRAP73,0.2781791907514451
TP73-AS1,0.12066473988439307
SMIM1,0.1755780346820809
LRRC47,0.24638728323699421
CEP104,0.0708092485549133
DFFB,0.040823699421965315
C1orf174,0.43533236994219654
NPHP4,0.048771676300578035
KCNAB2,0.13619942196531792
CHD5,0.017702312138728325
RP1-120G22.11,0.022398843930635837
RNF207,0.1976156069364162
ICMT,0.6911127167630058
LINC00337,0.030346820809248554
GPR153,0.015534682080924855
ACOT7,0.5603323699421965
RP1-202O8.3,0.016618497109826588
HES2,0.01083815028901734
TNFRSF25,0.034320809248554913
PLEKHG5,0.041184971098265896
NOL9,0.22904624277456648
ZBTB48,0.11524566473988439
KLHL21,0.07297687861271676
PHF13,0.09104046242774566
THAP3,0.2658959537572254
DNAJC11,0.1495664739884393
CAMTA1,0.8782514450867052
VAMP3,0.5292630057803468
PER3,0.0888728323699422
PARK7,1.0086705202312138
ERRFI1,0.7434971098265896
RP11-431K24.1,0.013728323699421965
SLC45A1,0.043713872832369945
RERE,0.17449421965317918
ENO1,1.0108381502890174
ENO1-AS1,0.020953757225433526
GPR157,0.059248554913294796
H6PD,0.046242774566473986
SPSB1,0.19291907514450868
SLC25A33,0.5166184971098265
TMEM201,0.08417630057803469
PIK3CD,0.0675578034682081
PIK3CD-AS2,0.1347543352601156
CLSTN1,0.2583092485549133
CTNNBIP1,0.4295520231213873
LZIC,0.3540462427745665
NMNAT1,0.07261560693641618
RBP7,0.5950144508670521
UBE4B,0.10151734104046242
KIF1B,0.14523121387283236
PGD,0.47290462427745666
RP4-736L20.3,0.010115606936416185
APITD1,0.5245664739884393
DFFA,0.6853323699421965
PEX14,0.1531791907514451
CASZ1,0.10982658959537572
TARDBP,0.6163294797687862
SRM,0.9165462427745664
EXOSC10,0.31033236994219654
RP4-635E18.6,0.04299132947976879
MTOR,0.22326589595375723
UBIAD1,0.28829479768786126
FBXO2,0.4541184971098266
FBXO44,0.101878612716763
FBXO6,0.09031791907514451
MAD2L2,0.7532514450867052
AGTRAP,0.6076589595375722
MTHFR,0.03504335260115607
CLCN6,0.0675578034682081
KIAA2013,0.2554190751445087
PLOD1,0.19978323699421965
MFN2,0.23554913294797689
MIIP,0.36741329479768786
TNFRSF1B,0.02384393063583815
VPS13D,0.054190751445086706
DHRS3,0.10838150289017341
PRDM2,0.19436416184971098
KAZN,0.048771676300578035
TMEM51,0.32153179190751446
FHAD1,0.019508670520231215
RP3-467K16.4,0.014089595375722543
EFHD2,0.9934971098265896
CASP9,0.06900289017341041
DNAJC16,0.054190751445086706
AGMAT,0.057803468208092484
DDI2,0.09393063583815028
PLEKHM2,0.19219653179190752
FBLIM1,0.2546965317919075
UQCRHL,0.32008670520231214
FLJ37453,0.06141618497109826
SPEN,0.1994219653179191
ZBTB17,0.15390173410404626
FAM131C,0.3500722543352601
EPHA2,0.588150289017341
RP11-276H7.3,0.012644508670520232
ARHGEF19,0.26083815028901736
RSG1,0.02565028901734104
FBXO42,0.09140173410404624
SZRD1,0.5520231213872833
NECAP2,0.4541184971098266
RP4-798A10.7,0.03829479768786127
NBPF1,0.21820809248554912
CROCC,0.05708092485549133
RP11-108M9.4,0.07984104046242775
RP11-108M9.6,0.00939306358381503
MFAP2,0.04226878612716763
ATP13A2,0.1531791907514451
SDHB,0.8742774566473989
PADI2,0.053829479768786125
RCC2,0.3276734104046243
ARHGEF10L,0.024927745664739886
KLHDC7A,0.009031791907514452
ALDH4A1,0.09320809248554913
IFFO2,0.12752890173410406
UBR4,0.26083815028901736
EMC1,0.1611271676300578
MRTO4,0.7333815028901735
AKR7A3,0.017341040462427744
AKR7A2,0.826228323699422
PQLC2,0.1726878612716763
CAPZB,0.8833092485549133
MINOS1,0.9338872832369942
NBL1,0.40028901734104044
TMCO4,0.12210982658959538
OTUD3,0.07297687861271676
UBXN10-AS1,0.011560693641618497
CAMK2N1,0.25072254335260113
MUL1,0.2023121387283237
CDA,0.7926300578034682
PINK1,0.35585260115606937
PINK1-AS,0.014812138728323699
DDOST,0.7492774566473989
KIF17,0.009754335260115607
SH2D5,0.1976156069364162
HP1BP3,0.6463150289017341
EIF4G3,0.1510115606936416
ECE1,0.31358381502890176
NBPF3,0.029624277456647398
