,perc_cells_expressed
FO538757.2,0.23041940373926226
AP006222.2,0.3198585144012127
RP11-206L10.9,0.053562405255179385
LINC00115,0.03840323395654371
FAM41C,0.21879737241030825
SAMD11,0.146033350176857
NOC2L,0.7544214249621021
KLHL17,0.05406771096513391
PLEKHN1,0.1374431531076301
RP11-54O7.17,0.015159171298635674
HES4,0.5907023749368367
ISG15,0.8792319353208691
AGRN,0.5224861040929762
RNF223,0.019201616978271854
C1orf159,0.1414855987872663
RP11-465B22.8,0.009600808489135927
TNFRSF18,0.0202122283981809
SDF4,0.8948964123294593
B3GALT6,0.13239009600808488
FAM132A,0.026781202627589692
UBE2J2,0.8074785245073269
SCNN1D,0.008590197069226882
ACAP3,0.12885295603840324
PUSL1,0.5255179383527034
CPSF3L,0.5351187468418394
CPTP,0.3279434057604851
DVL1,0.3486609398686205
AURKAIP1,1.0146538655886812
CCNL2,0.3734209196563921
MRPL20,0.9974734714502274
VWA1,0.20010106114199092
ATAD3C,0.01667508842849924
ATAD3B,0.28246589186457804
ATAD3A,0.46387064173825165
SSU72,0.9206670035371399
RP5-832C2.5,0.020717534108135423
C1orf233,0.09701869631126832
RP11-345P4.9,0.0833754421424962
MIB2,0.2501263264274886
CDK11B,0.23951490651844365
RP11-345P4.10,0.010611419909044972
SLC35E2B,0.10813542193026782
CDK11A,0.13340070742799393
NADK,0.4674077817079333
GNB1,0.7897928246589186
RP1-140A9.1,0.021728145528044467
TMEM52,0.1551288529560384
GABRD,0.013137948458817585
PRKCZ,0.19706922688226378
FAAP20,0.9499747347145022
SKI,0.11318847902981304
MORN1,0.05709954522486104
RER1,0.9717028802425467
PEX10,0.41738251642243557
PANK4,0.07781707933299646
RP3-395M20.12,0.0717534108135422
TNFRSF14,0.011116725618999495
FAM213B,0.1793835270338555
ARHGEF16,0.0808489135927236
TPRG1L,0.2177867609903992
WRAP73,0.26680141485598785
TP73-AS1,0.12683173319858515
SMIM1,0.16068721576553815
LRRC47,0.23749368367862556
CEP104,0.07377463365336029
DFFB,0.029307731177362305
C1orf174,0.4557857503789793
NPHP4,0.040929762506316324
KCNAB2,0.12683173319858515
CHD5,0.021728145528044467
RP1-120G22.11,0.026781202627589692
RNF207,0.20313289540171803
ICMT,0.7786760990399192
LINC00337,0.03739262253663466
GPR153,0.019201616978271854
ACOT7,0.5846387064173825
RP1-202O8.3,0.01414855987872663
HES2,0.010611419909044972
TNFRSF25,0.03840323395654371
PLEKHG5,0.04194037392622536
NOL9,0.21475492673067206
ZBTB48,0.10156644770085901
KLHL21,0.059120768064679134
PHF13,0.09752400202122284
THAP3,0.2632642748863062
DNAJC11,0.1616978271854472
CAMTA1,0.9075290550783224
VAMP3,0.56088933804952
