,perc_cells_expressed
FO538757.2,0.29981718464351004
AP006222.2,0.2413162705667276
RP4-669L17.10,0.009140767824497258
RP11-206L10.9,0.06398537477148081
FAM41C,0.15356489945155394
SAMD11,0.07495429616087751
NOC2L,0.5703839122486288
KLHL17,0.03473491773308958
PLEKHN1,0.08592321755027423
RP11-54O7.17,0.014625228519195612
HES4,0.6873857404021938
ISG15,0.6617915904936015
AGRN,0.4113345521023766
RNF223,0.06946983546617916
C1orf159,0.09323583180987204
RP11-465B22.8,0.009140767824497258
SDF4,0.7184643510054844
B3GALT6,0.10968921389396709
FAM132A,0.038391224862888484
UBE2J2,0.6508226691042047
ACAP3,0.09872029250457039
PUSL1,0.360146252285192
CPSF3L,0.360146252285192
CPTP,0.29981718464351004
DVL1,0.3126142595978062
AURKAIP1,1.012797074954296
CCNL2,0.31444241316270566
MRPL20,0.9689213893967094
ANKRD65,0.02376599634369287
VWA1,0.054844606946983544
ATAD3C,0.016453382084095063
ATAD3B,0.2979890310786106
ATAD3A,0.26142595978062155
TMEM240,0.010968921389396709
SSU72,0.9323583180987203
RP5-832C2.5,0.016453382084095063
C1orf233,0.012797074954296161
RP11-345P4.9,0.02376599634369287
MIB2,0.11517367458866545
CDK11B,0.1809872029250457
SLC35E2B,0.15356489945155394
CDK11A,0.09506398537477148
NADK,0.3912248628884826
GNB1,0.6471663619744058
RP1-140A9.1,0.010968921389396709
PRKCZ,0.10603290676416818
FAAP20,0.7239488117001828
SKI,0.09506398537477148
MORN1,0.04021937842778794
RER1,0.9341864716636198
PEX10,0.24314442413162707
PLCH2,0.012797074954296161
PANK4,0.04753199268738574
RP3-395M20.12,0.012797074954296161
FAM213B,0.056672760511883
ARHGEF16,0.1736745886654479
TPRG1L,0.17550274223034734
WRAP73,0.23948811700182815
TP73-AS1,0.029250457038391225
SMIM1,0.0603290676416819
LRRC47,0.19012797074954296
CEP104,0.19744058500914077
DFFB,0.04021937842778794
C1orf174,0.3473491773308958
LINC01134,0.012797074954296161
NPHP4,0.029250457038391225
KCNAB2,0.04936014625228519
RNF207,0.09323583180987204
ICMT,0.47714808043875684
LINC00337,0.010968921389396709
GPR153,0.09872029250457039
ACOT7,0.37294332723948814
HES2,0.02376599634369287
TNFRSF25,0.012797074954296161
PLEKHG5,0.031078610603290677
NOL9,0.18281535648994515
ZBTB48,0.06581352833638025
KLHL21,0.10603290676416818
PHF13,0.056672760511883
THAP3,0.14625228519195613
DNAJC11,0.09140767824497258
CAMTA1,0.8610603290676416
VAMP3,0.263254113345521
PER3,0.02010968921389397
PARK7,1.0036563071297988
ERRFI1,0.283363802559415
RERE,0.20292504570383912
ENO1,1.0091407678244972
ENO1-AS1,0.021937842778793418
SLC2A5,0.1663619744058501
GPR157,0.35283363802559414
MIR34AHG,0.02010968921389397
RP3-510D11.2,0.15173674588665448
H6PD,0.03656307129798903
SPSB1,0.3912248628884826
SLC25A33,0.4515539305301645
TMEM201,0.08409506398537477
PIK3CD,0.09323583180987204
PIK3CD-AS2,0.025594149908592323
CLSTN1,0.5959780621572212
CTNNBIP1,0.40950639853747717
LZIC,0.3619744058500914
NMNAT1,0.06581352833638025
RBP7,0.018281535648994516
UBE4B,0.1956124314442413
KIF1B,0.2687385740402194
PGD,0.7111517367458866
APITD1,0.5319926873857403
DFFA,0.5868372943327239
PEX14,0.0603290676416819
CASZ1,0.03290676416819013
TARDBP,0.4990859232175503
