,perc_cells_expressed
FO538757.2,0.23921354451119606
AP006222.2,0.20152921900600765
RP11-206L10.9,0.04860731840524304
LINC00115,0.011469142545057346
FAM41C,0.11851447296559257
SAMD11,0.012561441835062807
NOC2L,0.5811032222829056
KLHL17,0.02403058438012015
PLEKHN1,0.03440742763517204
RP11-54O7.17,0.008738394320043691
HES4,0.5226652102676134
ISG15,0.594210813762971
AGRN,0.3282359366466412
RNF223,0.037684325505188423
C1orf159,0.09666848716548335
RP11-465B22.8,0.01474604041507373
SDF4,0.6668487165483342
B3GALT6,0.10977607864554888
UBE2J2,0.6395412342981978
ACAP3,0.08410704533042053
PUSL1,0.3528126706717641
CPSF3L,0.3577280174767886
CPTP,0.2588749317312944
DVL1,0.18022938285090115
AURKAIP1,1.0027307482250136
CCNL2,0.28399781540142
MRPL20,0.973784817039869
ANKRD65,0.030038230475150193
VWA1,0.05734571272528673
ATAD3C,0.017476788640087382
ATAD3B,0.2976515565264883
ATAD3A,0.3173129437465866
SSU72,0.9486619333697434
RP5-832C2.5,0.016384489350081924
RP11-345P4.9,0.018022938285090113
MIB2,0.1032222829055161
CDK11B,0.15565264882577826
SLC35E2B,0.1206990715456035
CDK11A,0.10540688148552703
NADK,0.4123429819770617
GNB1,0.513380666302567
RP1-140A9.1,0.0070999453850355
TMEM52,0.01474604041507373
PRKCZ,0.10977607864554888
FAAP20,0.6209721463681048
SKI,0.056253413435281265
MORN1,0.030584380120152924
RER1,0.8563626433642818
PEX10,0.2534134352812671
PANK4,0.03986892408519935
RP3-395M20.12,0.016930638995084655
TNFRSF14,0.03113052976515565
FAM213B,0.08301474604041507
MMEL1,0.011469142545057346
PRDM16,0.018569087930092845
ARHGEF16,0.2091753140360459
TPRG1L,0.17149098853085745
WRAP73,0.2080830147460404
TP73-AS1,0.02184598580010923
SMIM1,0.03276897870016385
LRRC47,0.198798470780994
CEP104,0.21900600764609504
DFFB,0.02949208083014746
C1orf174,0.354997269251775
NPHP4,0.013107591480065538
KCNAB2,0.0764609503003823
RNF207,0.16220644456581104
ICMT,0.4396504642271983
GPR153,0.05789186237028946
ACOT7,0.3342435827416712
HES2,0.02075368651010377
TNFRSF25,0.015292190060076462
PLEKHG5,0.02184598580010923
NOL9,0.1955215729109776
ZBTB48,0.08793009284543965
KLHL21,0.08956854178044785
PHF13,0.056799563080284
THAP3,0.15892954669579465
DNAJC11,0.10212998361551065
CAMTA1,0.7935554341889678
